2025/05/16 11:05:52 main.go:23: File.sh server starting up...
2025/05/16 11:05:52 main.go:43: Connecting to storage backend (localhost:9000)...
2025/05/16 11:05:52 main.go:48: Successfully connected to storage backend, bucket: filesh
2025/05/16 11:05:52 main.go:99: Starting server on :8080
2025/05/16 11:05:52 main.go:100: Frontend CORS origin: http://localhost:5173
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/140 404 1.0058ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/137 404 1.5857ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/138 404 1.0058ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/141 404 1.0058ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/142 404 496.3µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/147 404 1.8662ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/145 404 1.8662ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/146 404 1.8662ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/143 404 1.8662ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/144 404 1.8662ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/148 404 1.4949ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/150 404 1.8891ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/149 404 1.8891ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/151 404 1.5096ms
